Name,Orientation,Forward count,Reverse count
AAJQ01000027.26484.28023,forward,8,0
AAJS01000007.45404.46942,forward,8,0
AAJV02000007.72353.73895,forward,8,0
AAJW02000004.29576.31117,forward,8,0
AAKH02000009.43437.44970,forward,8,0
AAKI02000272.1.1414,forward,8,0
AAKK02000060.1437.2980,forward,8,0
AAKL01000061.219.1746,forward,8,0
AALE02000076.1.1281,forward,7,0
AALZ01000001.467555.469012,forward,8,0
AAMC01155203.1198.2714,forward,8,0
AAML04000014.484834.486327,forward,8,0
AAMO01000005.167902.169358,forward,8,0
AANA01000002.498284.499810,forward,8,0
AANC01000011.208.1734,forward,8,0
AANK01000008.466.1969,forward,8,0
AANQ01000004.42903.44406,forward,8,0
AANT02000005.58960.60472,forward,8,0
AANZ01000021.102750.104251,forward,8,0
AAOC01000006.228084.229611,forward,8,0
AAOG01000005.3703.5223,forward,8,0
AAOT01000030.1.1840,forward,8,0
AAPJ01000003.348036.349511,forward,8,0
AAPR01000001.356572.358092,forward,8,0
AAPZ02000001.1320632.1322200,forward,8,0
AAQG01000006.168651.170147,forward,8,0
AAQK01002743.185.1496,forward,7,0
AAQL01003796.110.1491,forward,8,0
AAQL01011398.3454.4974,forward,8,0
AAQW01000001.6271117.6272643,forward,8,0
AARH01027387.243.1721,forward,8,0
AARL02000112.772.2312,forward,8,0
AART01000048.142.1682,forward,8,0
AASG02010287.426.1903,forward,8,0
AATA01000092.6.1408,forward,8,0
AATF01001259.52.1573,forward,8,0
AATL02000054.198.1738,forward,8,0
AATN01001290.251.1732,forward,8,0
AATO01002074.583.2008,forward,8,0
AATQ01000014.95938.97392,forward,8,0
AATY01000061.3339.4872,forward,8,0
AAUA01000001.816464.817939,forward,8,0
AAUQ01000001.35263.36764,forward,8,0
AAUQ01011642.3.1500,forward,8,0
AAUQ01023956.9.1520,forward,8,0
AAUQ01041161.17.1271,forward,6,0
AAUQ01046208.1.1236,forward,6,0
AAUS01000154.7.1433,forward,8,0
AAUX01000001.569453.570996,forward,8,0
AAWD01000266.1.1425,forward,8,0
AAWL01000045.116.1666,forward,8,0
AAWS01000007.150479.151926,forward,8,0
AAWV02000001.1574071.1575617,forward,8,0
AAWY01000073.3431.4967,forward,8,0
AAXA02000015.760903.762421,forward,8,0
AAXV01000010.85681.87238,forward,8,0
AAXW01000002.194351.195828,forward,8,0
AAYA01000001.38603.40042,forward,8,0
AAYO02000002.77347.78873,forward,8,0
AAYR01000002.203879.205356,forward,8,0
AAZQ01000001.3426.4956,forward,8,0
AAZR01000011.3330.4833,forward,8,0
AAZT01000003.62.1564,forward,8,0
AB000106.1.1343,forward,8,0
AB000389.1.1508,forward,8,0
AB001446.1.1538,forward,8,0
AB001521.1.1560,forward,8,0
AB001777.1.1508,forward,8,0
AB001785.1.1507,forward,8,0
AB001793.1.1507,forward,8,0
AB001801.1.1507,forward,8,0
AB001809.1.1507,forward,8,0
AB001836.1.1510,forward,8,0
AB002480.1.1312,forward,8,0
AB002488.1.1507,forward,8,0
AB002496.1.1507,forward,8,0
AB002504.1.1507,forward,8,0
AB002512.1.1507,forward,8,0
AB002520.1.1377,forward,8,0
AB002583.17714.19138,forward,8,0
AB002639.1.1384,forward,8,0
AB002647.1.1472,forward,8,0
AB002655.1.1462,forward,8,0
AB003163.1.1437,forward,8,0
AB003190.1.1503,forward,8,0
AB003389.1.1432,forward,8,0
AB003626.1.1452,forward,8,0
AB004031.1.1473,forward,8,0
AB004039.1.1473,forward,8,0
AB004575.1.1342,forward,8,0
AB004691.1.1449,forward,8,0
AB004720.1.1427,forward,8,0
AB004728.1.1494,forward,8,0
AB004746.1.1449,forward,8,0
AB004754.1.1441,forward,8,0
AB004762.1.1451,forward,8,0
AB006127.1.1290,forward,8,0
AB006159.1.1414,forward,8,0
AB006167.1.1466,forward,8,0
AB006175.1.1475,forward,8,0
AB006766.1.1459,forward,8,0
AB006998.1.1445,forward,8,0
AB007421.1.1440,forward,8,0
AB007995.1.1459,forward,8,0
AB008108.1.1212,reverse,0,8
AB008208.1.1532,reverse,0,8
AB008313.1.1403,reverse,0,8
AB008506.1.1455,reverse,0,8
AB008514.1.1214,reverse,0,8
AB008801.1.1466,reverse,0,8
AB008926.1.1321,reverse,0,8
AB009175.1.1459,reverse,0,8
AB009183.1.1454,reverse,0,8
AB009191.1.1419,reverse,0,8
AB009199.1.1417,reverse,0,8
AB009207.1.1416,reverse,0,8
AB009215.1.1403,reverse,0,8
AB009223.1.1426,reverse,0,8
AB009231.1.1422,reverse,0,8
AB009239.1.1410,reverse,0,8
AB009829.1.1461,reverse,0,8
AB009935.1.1492,reverse,0,8
AB009943.1.1493,reverse,0,8
AB010846.1.1411,reverse,0,8
